dataset,nrows,ncols,run,seed,i_5CV_logloss,p_5CV_logloss,i_TST_logloss,p_TST_logloss,i_geo_complexity,p_geo_complexity,i_nfs_complexity,p_nfs_complexity,i_H_total,i_H_active,i_C_inconsistentes,i_k_promedio_activas,p_H_total,p_H_active,p_C_inconsistentes,p_k_promedio_activas,i_best_model,p_best_model,i_d,p_d,i_l,p_l,i_f,p_f,i_tree_nfs,p_tree_nfs,i_tree_used_fs,p_tree_used_fs,i_selected_fs,p_selected_fs
sick.csv,3772,53,0,0,0.060057,0.091363,0.07807,0.088055,2.346153846153846,1.0384615384615385,12,5.0,2,2,4,9.0,1,1,0,4.0,"MLPClassifier(activation='logistic', alpha=0.1071109354690834,
              hidden_layer_sizes=2, max_iter=500, random_state=12345,
              solver='lbfgs')","MLPClassifier(activation='logistic', alpha=0.00857728912415248,
              hidden_layer_sizes=1, max_iter=500, random_state=12345,
              solver='lbfgs')",,,,,,,12,5,"['age' 'sick_t' 'I131_treatment_f' 'query_hyperthyroid_f' 'T3_measured_t'
 'T3' 'TT4_measured_f' 'TT4' 'T4U_measured_t' 'FTI_measured_f' 'FTI'
 'referral_source_other']",['age' 'query_hypothyroid_f' 'TSH' 'T3' 'referral_source_other'],"['age' 'sick_t' 'I131_treatment_f' 'query_hyperthyroid_f' 'T3_measured_t'
 'T3' 'TT4_measured_f' 'TT4' 'T4U_measured_t' 'FTI_measured_f' 'FTI'
 'referral_source_other']",['age' 'query_hypothyroid_f' 'TSH' 'T3' 'referral_source_other']
mushroom.csv,8124,126,0,0,3.9e-05,9.4e-05,6.3e-05,6.7e-05,1.176,13.496,55,29.0,1,1,0,41.0,11,11,25,21.636363636363637,"MLPClassifier(activation='logistic', alpha=1e-05, hidden_layer_sizes=1,
              max_iter=500, random_state=12345, solver='lbfgs')","MLPClassifier(activation='logistic', alpha=1e-05, hidden_layer_sizes=11,
              max_iter=500, random_state=12345, solver='lbfgs')",,,,,,,55,29,"['cap-shape_f' 'cap-shape_s' 'cap-shape_x' 'cap-surface_f' 'cap-color_n'
 'bruises%3F_f' 'odor_a' 'odor_f' 'odor_l' 'odor_m' 'odor_s'
 'gill-attachment_a' 'gill-attachment_f' 'gill-size_b' 'gill-color_b'
 'gill-color_h' 'gill-color_n' 'gill-color_p' 'gill-color_w'
 'stalk-root_b' 'stalk-root_c' 'stalk-root_e' 'stalk-surface-above-ring_s'
 'stalk-surface-below-ring_k' 'stalk-surface-below-ring_y'
 'stalk-color-above-ring_e' 'stalk-color-above-ring_g'
 'stalk-color-above-ring_o' 'stalk-color-above-ring_p'
 'stalk-color-above-ring_y' 'stalk-color-below-ring_c'
 'stalk-color-below-ring_g' 'stalk-color-below-ring_p'
 'stalk-color-below-ring_y' 'veil-type_p' 'veil-color_n' 'veil-color_o'
 'veil-color_w' 'ring-number_n' 'ring-type_c' 'ring-type_l' 'ring-type_n'
 'ring-type_p' 'ring-type_s' 'ring-type_z' 'spore-print-color_h'
 'spore-print-color_n' 'spore-print-color_r' 'spore-print-color_w'
 'spore-print-color_y' 'population_a' 'population_c' 'habitat_l'
 'habitat_m' 'habitat_w']","['cap-shape_b' 'cap-color_e' 'cap-color_p' 'bruises%3F_f' 'odor_f'
 'odor_m' 'odor_s' 'gill-attachment_a' 'gill-attachment_d'
 'gill-attachment_n' 'gill-size_n' 'gill-color_b' 'stalk-shape_t'
 'stalk-root_b' 'stalk-surface-above-ring_k' 'stalk-surface-above-ring_y'
 'stalk-surface-below-ring_f' 'stalk-surface-below-ring_s'
 'stalk-color-above-ring_c' 'stalk-color-above-ring_e'
 'stalk-color-below-ring_p' 'veil-type_p' 'veil-color_o' 'veil-color_y'
 'ring-type_p' 'population_n' 'habitat_d' 'habitat_g' 'habitat_p']","['cap-shape_f' 'cap-shape_s' 'cap-shape_x' 'cap-surface_f' 'cap-color_n'
 'bruises%3F_f' 'odor_a' 'odor_f' 'odor_l' 'odor_m' 'odor_s'
 'gill-attachment_a' 'gill-attachment_f' 'gill-size_b' 'gill-color_b'
 'gill-color_h' 'gill-color_n' 'gill-color_p' 'gill-color_w'
 'stalk-root_b' 'stalk-root_c' 'stalk-root_e' 'stalk-surface-above-ring_s'
 'stalk-surface-below-ring_k' 'stalk-surface-below-ring_y'
 'stalk-color-above-ring_e' 'stalk-color-above-ring_g'
 'stalk-color-above-ring_o' 'stalk-color-above-ring_p'
 'stalk-color-above-ring_y' 'stalk-color-below-ring_c'
 'stalk-color-below-ring_g' 'stalk-color-below-ring_p'
 'stalk-color-below-ring_y' 'veil-type_p' 'veil-color_n' 'veil-color_o'
 'veil-color_w' 'ring-number_n' 'ring-type_c' 'ring-type_l' 'ring-type_n'
 'ring-type_p' 'ring-type_s' 'ring-type_z' 'spore-print-color_h'
 'spore-print-color_n' 'spore-print-color_r' 'spore-print-color_w'
 'spore-print-color_y' 'population_a' 'population_c' 'habitat_l'
 'habitat_m' 'habitat_w']","['cap-shape_b' 'cap-color_e' 'cap-color_p' 'bruises%3F_f' 'odor_f'
 'odor_m' 'odor_s' 'gill-attachment_a' 'gill-attachment_d'
 'gill-attachment_n' 'gill-size_n' 'gill-color_b' 'stalk-shape_t'
 'stalk-root_b' 'stalk-surface-above-ring_k' 'stalk-surface-above-ring_y'
 'stalk-surface-below-ring_f' 'stalk-surface-below-ring_s'
 'stalk-color-above-ring_c' 'stalk-color-above-ring_e'
 'stalk-color-below-ring_p' 'veil-type_p' 'veil-color_o' 'veil-color_y'
 'ring-type_p' 'population_n' 'habitat_d' 'habitat_g' 'habitat_p']"
coil2000.csv,9822,86,0,0,0.202211,0.203965,0.209416,0.206976,1.0752941176470587,11.741176470588234,16,19.0,1,1,0,12.0,10,10,11,14.2,"MLPClassifier(activation='logistic', alpha=0.6990751244696722,
              hidden_layer_sizes=1, max_iter=500, random_state=12345,
              solver='lbfgs')","MLPClassifier(activation='logistic', alpha=5.086701178795314,
              hidden_layer_sizes=10, max_iter=500, random_state=12345,
              solver='lbfgs')",,,,,,,16,19,"['MRELSA' 'MOPLLAAG' 'MBERBOER' 'MINKM30' 'MINK123M' 'PPERSAUT' 'PLEVEN'
 'PBRAND' 'PPLEZIER' 'AWALAND' 'AWERKT' 'APERSONG' 'AGEZONG' 'ABRAND'
 'AFIETS' 'ABYSTAND']","['MOSTYPE' 'MAANTHUI' 'MGEMOMV' 'MOSHOOFD' 'MOPLLAAG' 'MBERBOER' 'MINKGEM'
 'PWAPART' 'PPERSAUT' 'PMOTSCO' 'PWERKT' 'PBROM' 'PLEVEN' 'PBRAND'
 'PPLEZIER' 'AWAPART' 'AVRAAUT' 'APLEZIER' 'ABYSTAND']","['MRELSA' 'MOPLLAAG' 'MBERBOER' 'MINKM30' 'MINK123M' 'PPERSAUT' 'PLEVEN'
 'PBRAND' 'PPLEZIER' 'AWALAND' 'AWERKT' 'APERSONG' 'AGEZONG' 'ABRAND'
 'AFIETS' 'ABYSTAND']","['MOSTYPE' 'MAANTHUI' 'MGEMOMV' 'MOSHOOFD' 'MOPLLAAG' 'MBERBOER' 'MINKGEM'
 'PWAPART' 'PPERSAUT' 'PMOTSCO' 'PWERKT' 'PBROM' 'PLEVEN' 'PBRAND'
 'PPLEZIER' 'AWAPART' 'AVRAAUT' 'APLEZIER' 'ABYSTAND']"
scene.csv,2407,305,0,0,0.04685,0.047353,0.058649,0.062823,3.3019736842105267,8.551315789473685,42,24.0,3,3,12,31.333333333333332,8,8,16,17.875,"MLPClassifier(activation='logistic', alpha=1.08456621973518,
              hidden_layer_sizes=3, max_iter=500, random_state=12345,
              solver='lbfgs')","MLPClassifier(activation='logistic', alpha=1.3170005803754377,
              hidden_layer_sizes=8, max_iter=500, random_state=12345,
              solver='lbfgs')",,,,,,,42,24,"['attr1' 'attr2' 'attr15' 'attr29' 'attr46' 'attr52' 'attr58' 'attr60'
 'attr77' 'attr78' 'attr80' 'attr114' 'attr115' 'attr117' 'attr120'
 'attr129' 'attr130' 'attr134' 'attr136' 'attr164' 'attr165' 'attr177'
 'attr182' 'attr187' 'attr192' 'attr198' 'attr210' 'attr229' 'attr230'
 'attr234' 'attr242' 'attr266' 'attr271' 'attr276' 'attr286' 'attr292'
 'Beach_1' 'Sunset_1' 'FallFoliage_0' 'FallFoliage_1' 'Field_0'
 'Mountain_0']","['attr1' 'attr2' 'attr35' 'attr37' 'attr56' 'attr91' 'attr124' 'attr132'
 'attr171' 'attr192' 'attr194' 'attr200' 'attr213' 'attr237' 'attr245'
 'attr257' 'attr266' 'attr280' 'Beach_0' 'Beach_1' 'Sunset_1'
 'FallFoliage_1' 'Field_0' 'Mountain_1']","['attr1' 'attr2' 'attr15' 'attr29' 'attr46' 'attr52' 'attr58' 'attr60'
 'attr77' 'attr78' 'attr80' 'attr114' 'attr115' 'attr117' 'attr120'
 'attr129' 'attr130' 'attr134' 'attr136' 'attr164' 'attr165' 'attr177'
 'attr182' 'attr187' 'attr192' 'attr198' 'attr210' 'attr229' 'attr230'
 'attr234' 'attr242' 'attr266' 'attr271' 'attr276' 'attr286' 'attr292'
 'Beach_1' 'Sunset_1' 'FallFoliage_0' 'FallFoliage_1' 'Field_0'
 'Mountain_0']","['attr1' 'attr2' 'attr35' 'attr37' 'attr56' 'attr91' 'attr124' 'attr132'
 'attr171' 'attr192' 'attr194' 'attr200' 'attr213' 'attr237' 'attr245'
 'attr257' 'attr266' 'attr280' 'Beach_0' 'Beach_1' 'Sunset_1'
 'FallFoliage_1' 'Field_0' 'Mountain_1']"
kr.csv,3196,75,0,0,0.029623,0.032346,0.016437,0.01261,10.140540540540542,15.745945945945946,35,32.0,7,7,27,26.285714285714285,11,11,30,23.818181818181817,"MLPClassifier(activation='logistic', alpha=0.23098981335698218,
              hidden_layer_sizes=7, max_iter=500, random_state=12345,
              solver='lbfgs')","MLPClassifier(activation='logistic', alpha=0.3777276362318953,
              hidden_layer_sizes=11, max_iter=500, random_state=12345,
              solver='lbfgs')",,,,,,,35,32,"['bkblk_t' 'bknwy_t' 'bkon8_f' 'bkona_t' 'bkona_f' 'bkxbq_t' 'bkxcr_t'
 'blxwp_f' 'bxqsq_f' 'cntxt_t' 'dsopp_f' 'hdchk_t' 'katri_b' 'katri_n'
 'mulch_f' 'qxmsq_f' 'r2ar8_t' 'reskr_t' 'rimmx_t' 'rimmx_f' 'rkxwp_f'
 'rxmsq_f' 'skach_f' 'skrxp_t' 'skrxp_f' 'spcop_t' 'thrsk_t' 'thrsk_f'
 'wkcti_t' 'wkna8_t' 'wkna8_f' 'wknck_f' 'wkovl_f' 'wkpos_t' 'wtoeg_f']","['bkblk_t' 'bkblk_f' 'bkon8_t' 'bkona_f' 'bkspr_t' 'bkxbq_f' 'bkxcr_f'
 'bkxwp_f' 'blxwp_t' 'bxqsq_t' 'bxqsq_f' 'hdchk_f' 'katri_b' 'katri_w'
 'mulch_f' 'qxmsq_t' 'r2ar8_f' 'reskr_t' 'rimmx_t' 'rkxwp_t' 'rkxwp_f'
 'rxmsq_f' 'simpl_f' 'skach_t' 'skrxp_t' 'thrsk_f' 'wkna8_t' 'wknck_t'
 'wknck_f' 'wkovl_f' 'wkpos_t' 'wtoeg_n']","['bkblk_t' 'bknwy_t' 'bkon8_f' 'bkona_t' 'bkona_f' 'bkxbq_t' 'bkxcr_t'
 'blxwp_f' 'bxqsq_f' 'cntxt_t' 'dsopp_f' 'hdchk_t' 'katri_b' 'katri_n'
 'mulch_f' 'qxmsq_f' 'r2ar8_t' 'reskr_t' 'rimmx_t' 'rimmx_f' 'rkxwp_f'
 'rxmsq_f' 'skach_f' 'skrxp_t' 'skrxp_f' 'spcop_t' 'thrsk_t' 'thrsk_f'
 'wkcti_t' 'wkna8_t' 'wkna8_f' 'wknck_f' 'wkovl_f' 'wkpos_t' 'wtoeg_f']","['bkblk_t' 'bkblk_f' 'bkon8_t' 'bkona_f' 'bkspr_t' 'bkxbq_f' 'bkxcr_f'
 'bkxwp_f' 'blxwp_t' 'bxqsq_t' 'bxqsq_f' 'hdchk_f' 'katri_b' 'katri_w'
 'mulch_f' 'qxmsq_t' 'r2ar8_f' 'reskr_t' 'rimmx_t' 'rkxwp_t' 'rkxwp_f'
 'rxmsq_f' 'simpl_f' 'skach_t' 'skrxp_t' 'thrsk_f' 'wkna8_t' 'wknck_t'
 'wknck_f' 'wkovl_f' 'wkpos_t' 'wtoeg_n']"
spambase.csv,4601,58,0,0,0.173564,0.16872,0.170974,0.188857,5.908771929824561,20.63157894736842,32,30.0,4,4,18,24.0,14,14,24,22.5,"MLPClassifier(activation='logistic', alpha=0.9497901230275012,
              hidden_layer_sizes=4, max_iter=500, random_state=12345,
              solver='lbfgs')","MLPClassifier(activation='logistic', alpha=1.1554285673615174,
              hidden_layer_sizes=14, max_iter=500, random_state=12345,
              solver='lbfgs')",,,,,,,32,30,"['word_freq_all' 'word_freq_3d' 'word_freq_our' 'word_freq_remove'
 'word_freq_internet' 'word_freq_receive' 'word_freq_addresses'
 'word_freq_free' 'word_freq_business' 'word_freq_credit' 'word_freq_000'
 'word_freq_money' 'word_freq_hp' 'word_freq_hpl' 'word_freq_george'
 'word_freq_lab' 'word_freq_85' 'word_freq_1999' 'word_freq_pm'
 'word_freq_direct' 'word_freq_meeting' 'word_freq_project' 'word_freq_re'
 'word_freq_edu' 'word_freq_table' 'word_freq_conference' 'char_freq_%3B'
 'char_freq_%5B' 'char_freq_%21' 'char_freq_%24'
 'capital_run_length_longest' 'capital_run_length_total']","['word_freq_3d' 'word_freq_our' 'word_freq_remove' 'word_freq_internet'
 'word_freq_order' 'word_freq_receive' 'word_freq_will' 'word_freq_people'
 'word_freq_free' 'word_freq_business' 'word_freq_you' 'word_freq_credit'
 'word_freq_your' 'word_freq_font' 'word_freq_money' 'word_freq_hp'
 'word_freq_george' 'word_freq_data' 'word_freq_1999' 'word_freq_cs'
 'word_freq_meeting' 'word_freq_project' 'word_freq_re' 'word_freq_edu'
 'char_freq_%3B' 'char_freq_%21' 'char_freq_%24'
 'capital_run_length_average' 'capital_run_length_longest'
 'capital_run_length_total']","['word_freq_all' 'word_freq_3d' 'word_freq_our' 'word_freq_remove'
 'word_freq_internet' 'word_freq_receive' 'word_freq_addresses'
 'word_freq_free' 'word_freq_business' 'word_freq_credit' 'word_freq_000'
 'word_freq_money' 'word_freq_hp' 'word_freq_hpl' 'word_freq_george'
 'word_freq_lab' 'word_freq_85' 'word_freq_1999' 'word_freq_pm'
 'word_freq_direct' 'word_freq_meeting' 'word_freq_project' 'word_freq_re'
 'word_freq_edu' 'word_freq_table' 'word_freq_conference' 'char_freq_%3B'
 'char_freq_%5B' 'char_freq_%21' 'char_freq_%24'
 'capital_run_length_longest' 'capital_run_length_total']","['word_freq_3d' 'word_freq_our' 'word_freq_remove' 'word_freq_internet'
 'word_freq_order' 'word_freq_receive' 'word_freq_will' 'word_freq_people'
 'word_freq_free' 'word_freq_business' 'word_freq_you' 'word_freq_credit'
 'word_freq_your' 'word_freq_font' 'word_freq_money' 'word_freq_hp'
 'word_freq_george' 'word_freq_data' 'word_freq_1999' 'word_freq_cs'
 'word_freq_meeting' 'word_freq_project' 'word_freq_re' 'word_freq_edu'
 'char_freq_%3B' 'char_freq_%21' 'char_freq_%24'
 'capital_run_length_average' 'capital_run_length_longest'
 'capital_run_length_total']"
ada.csv,4562,103,0,0,0.340173,0.340478,0.341031,0.337525,8.880392156862744,11.254901960784313,35,18.0,7,7,23,25.428571428571427,10,10,10,12.7,"MLPClassifier(activation='logistic', alpha=2.990415068512822,
              hidden_layer_sizes=7, max_iter=500, random_state=12345,
              solver='lbfgs')","MLPClassifier(activation='logistic', alpha=2.5376719557610223,
              hidden_layer_sizes=10, max_iter=500, random_state=12345,
              solver='lbfgs')",,,,,,,34,17,"['age' 'workclass_Federal-gov' 'workclass_Without-pay'
 'workclass_State-gov' 'workclass_Local-gov' 'workclass_Self-emp-not-inc'
 'education_10th' 'education_12th' 'educationNum'
 'maritalStatus_Married-civ-spouse' 'maritalStatus_Divorced'
 'occupation_Prof-specialty' 'occupation_Priv-house-serv'
 'occupation_Other-service' 'occupation_Armed-Forces'
 'occupation_Machine-op-inspct' 'occupation_Farming-fishing'
 'relationship_Wife' 'relationship_Own-child' 'race_White' 'race_Other'
 'capitalGain' 'capitalLoss' 'hoursPerWeek' 'nativeCountry_Philippines'
 'nativeCountry_Greece' 'nativeCountry_Ireland' 'nativeCountry_South'
 'nativeCountry_Peru' 'nativeCountry_Trinadad&Tobago'
 'nativeCountry_Scotland' 'nativeCountry_Mexico' 'nativeCountry_Poland'
 'nativeCountry_Japan']","['age' 'workclass_Federal-gov' 'education_1st-4th' 'education_7th-8th'
 'educationNum' 'maritalStatus_Married-civ-spouse'
 'occupation_Prof-specialty' 'occupation_Armed-Forces'
 'occupation_Farming-fishing' 'relationship_Wife' 'capitalGain'
 'capitalLoss' 'hoursPerWeek' 'nativeCountry_United-States'
 'nativeCountry_Vietnam' 'nativeCountry_Puerto-Rico'
 'nativeCountry_Cambodia']","['age' 'workclass_Federal-gov' 'workclass_Without-pay'
 'workclass_State-gov' 'workclass_Local-gov' 'workclass_Self-emp-not-inc'
 'education_10th' 'education_12th' 'educationNum'
 'maritalStatus_Married-civ-spouse' 'maritalStatus_Divorced'
 'occupation_Prof-specialty' 'occupation_Priv-house-serv'
 'occupation_Other-service' 'occupation_Armed-Forces'
 'occupation_Machine-op-inspct' 'occupation_Farming-fishing'
 'relationship_Wife' 'relationship_Own-child' 'race_White' 'race_Other'
 'capitalGain' 'capitalLoss' 'hoursPerWeek' 'nativeCountry_Philippines'
 'nativeCountry_Greece' 'nativeCountry_Yugoslavia' 'nativeCountry_Ireland'
 'nativeCountry_South' 'nativeCountry_Peru'
 'nativeCountry_Trinadad&Tobago' 'nativeCountry_Scotland'
 'nativeCountry_Mexico' 'nativeCountry_Poland' 'nativeCountry_Japan']","['age' 'workclass_Federal-gov' 'education_1st-4th' 'education_7th-8th'
 'educationNum' 'maritalStatus_Married-civ-spouse'
 'occupation_Prof-specialty' 'occupation_Armed-Forces'
 'occupation_Farming-fishing' 'relationship_Wife' 'capitalGain'
 'capitalLoss' 'hoursPerWeek' 'nativeCountry_Yugoslavia'
 'nativeCountry_United-States' 'nativeCountry_Vietnam'
 'nativeCountry_Puerto-Rico' 'nativeCountry_Cambodia']"
sylva.csv,14395,109,0,0,0.016209,0.015771,0.022922,0.021567,2.5148148148148146,8.25,46,20.0,2,2,8,34.0,7,7,14,14.714285714285714,"MLPClassifier(activation='logistic', alpha=0.38343911780669576,
              hidden_layer_sizes=2, max_iter=500, random_state=12345,
              solver='lbfgs')","MLPClassifier(activation='logistic', alpha=0.6468080673277602,
              hidden_layer_sizes=7, max_iter=500, random_state=12345,
              solver='lbfgs')",,,,,,,46,20,"['Elevation' 'Aspect' 'Hillshade_9am' 'Horizontal_Distance_To_Fire_Points'
 'Rawah_Wilderness_Area' 'Neota_Wilderness_Area' 'Soil_Type_4'
 'Soil_Type_6' 'Soil_Type_10' 'Soil_Type_15' 'Soil_Type_17' 'Soil_Type_19'
 'Soil_Type_20' 'Soil_Type_21' 'Soil_Type_26' 'Soil_Type_28'
 'Soil_Type_31' 'Soil_Type_33' 'Soil_Type_37' 'dup_Elevation'
 'dup_Horizontal_Distance_To_Hydrology'
 'dup_Vertical_Distance_To_Hydrology'
 'dup_Horizontal_Distance_To_Roadways' 'dup_Hillshade_3pm'
 'dup_Horizontal_Distance_To_Fire_Points' 'dup_Rawah_Wilderness_Area'
 'dup_Neota_Wilderness_Area' 'dup_Soil_Type_1' 'dup_Soil_Type_2'
 'dup_Soil_Type_3' 'dup_Soil_Type_6' 'dup_Soil_Type_7' 'dup_Soil_Type_10'
 'dup_Soil_Type_12' 'dup_Soil_Type_13' 'dup_Soil_Type_14'
 'dup_Soil_Type_15' 'dup_Soil_Type_19' 'dup_Soil_Type_22'
 'dup_Soil_Type_23' 'dup_Soil_Type_24' 'dup_Soil_Type_28'
 'dup_Soil_Type_29' 'dup_Soil_Type_31' 'dup_Soil_Type_33'
 'dup_Soil_Type_39']","['Elevation' 'Aspect' 'Vertical_Distance_To_Hydrology'
 'Comanche_Peak_Wilderness_Area' 'Cache_la_Poudre_Wilderness_Area'
 'Soil_Type_13' 'Soil_Type_17' 'Soil_Type_19' 'Soil_Type_23'
 'Soil_Type_33' 'Soil_Type_35' 'dup_Elevation'
 'dup_Vertical_Distance_To_Hydrology' 'dup_Hillshade_Noon'
 'dup_Rawah_Wilderness_Area' 'dup_Soil_Type_2' 'dup_Soil_Type_3'
 'dup_Soil_Type_14' 'dup_Soil_Type_19' 'dup_Soil_Type_21']","['Elevation' 'Aspect' 'Hillshade_9am' 'Horizontal_Distance_To_Fire_Points'
 'Rawah_Wilderness_Area' 'Neota_Wilderness_Area' 'Soil_Type_4'
 'Soil_Type_6' 'Soil_Type_10' 'Soil_Type_15' 'Soil_Type_17' 'Soil_Type_19'
 'Soil_Type_20' 'Soil_Type_21' 'Soil_Type_26' 'Soil_Type_28'
 'Soil_Type_31' 'Soil_Type_33' 'Soil_Type_37' 'dup_Elevation'
 'dup_Horizontal_Distance_To_Hydrology'
 'dup_Vertical_Distance_To_Hydrology'
 'dup_Horizontal_Distance_To_Roadways' 'dup_Hillshade_3pm'
 'dup_Horizontal_Distance_To_Fire_Points' 'dup_Rawah_Wilderness_Area'
 'dup_Neota_Wilderness_Area' 'dup_Soil_Type_1' 'dup_Soil_Type_2'
 'dup_Soil_Type_3' 'dup_Soil_Type_6' 'dup_Soil_Type_7' 'dup_Soil_Type_10'
 'dup_Soil_Type_12' 'dup_Soil_Type_13' 'dup_Soil_Type_14'
 'dup_Soil_Type_15' 'dup_Soil_Type_19' 'dup_Soil_Type_22'
 'dup_Soil_Type_23' 'dup_Soil_Type_24' 'dup_Soil_Type_28'
 'dup_Soil_Type_29' 'dup_Soil_Type_31' 'dup_Soil_Type_33'
 'dup_Soil_Type_39']","['Elevation' 'Aspect' 'Vertical_Distance_To_Hydrology'
 'Comanche_Peak_Wilderness_Area' 'Cache_la_Poudre_Wilderness_Area'
 'Soil_Type_13' 'Soil_Type_17' 'Soil_Type_19' 'Soil_Type_23'
 'Soil_Type_33' 'Soil_Type_35' 'dup_Elevation'
 'dup_Vertical_Distance_To_Hydrology' 'dup_Hillshade_Noon'
 'dup_Rawah_Wilderness_Area' 'dup_Soil_Type_2' 'dup_Soil_Type_3'
 'dup_Soil_Type_14' 'dup_Soil_Type_19' 'dup_Soil_Type_21']"
jm1.csv,10885,22,0,0,0.438153,0.436877,0.443505,0.441619,2.647619047619048,10.057142857142857,11,6.0,2,2,0,8.0,8,8,5,4.5,"MLPClassifier(activation='logistic', alpha=0.7051720141952057,
              hidden_layer_sizes=2, max_iter=500, random_state=12345,
              solver='lbfgs')","MLPClassifier(activation='logistic', alpha=1.0635335221407431,
              hidden_layer_sizes=8, max_iter=500, random_state=12345,
              solver='lbfgs')",,,,,,,11,6,"['loc' 'v(g)' 'n' 'l' 'd' 'e' 'lOCode' 'lOBlank' 'locCodeAndComment'
 'total_Opnd' 'branchCount']",['loc' 'd' 'e' 'lOBlank' 'uniq_Op' 'branchCount'],"['loc' 'v(g)' 'n' 'l' 'd' 'e' 'lOCode' 'lOBlank' 'locCodeAndComment'
 'total_Opnd' 'branchCount']",['loc' 'd' 'e' 'lOBlank' 'uniq_Op' 'branchCount']
sick.csv,3772,53,1,1234,0.060869,0.071611,0.070203,0.106772,3.5999999999999996,2.1384615384615384,11,6.0,3,3,7,8.333333333333334,2,2,2,4.5,"MLPClassifier(activation='logistic', alpha=0.39556038258990744,
              hidden_layer_sizes=3, max_iter=500, random_state=12345,
              solver='lbfgs')","MLPClassifier(activation='logistic', alpha=1.0000000000000008e-05,
              hidden_layer_sizes=2, max_iter=500, random_state=12345,
              solver='lbfgs')",,,,,,,11,6,"['sex_F' 'on_antithyroid_medication_t' 'pregnant_f' 'query_hypothyroid_f'
 'goitre_t' 'T3_measured_t' 'T3' 'TT4' 'FTI' 'referral_source_other'
 'referral_source_SVHD']",['age' 'sick_f' 'pregnant_f' 'goitre_t' 'TSH' 'T3'],"['sex_F' 'on_antithyroid_medication_t' 'pregnant_f' 'query_hypothyroid_f'
 'goitre_t' 'T3_measured_t' 'T3' 'TT4' 'FTI' 'referral_source_other'
 'referral_source_SVHD']",['age' 'sick_f' 'pregnant_f' 'goitre_t' 'TSH' 'T3']
