dataset,run,seed,nrows,ncols,i_5CV_logloss,p_5CV_logloss,i_TST_logloss,p_TST_logloss,i_geo_complexity,p_geo_complexity,i_nfs_complexity,p_nfs_complexity,i_H_total,i_H_active,i_C_inconsistentes,i_k_promedio_activas,p_H_total,p_H_active,p_C_inconsistentes,p_k_promedio_activas,i_d,p_d,i_l,p_l,i_f,p_f,i_tree_nfs,p_tree_nfs
ada.csv,9.5,11723.0,4562.0,103.0,0.3391,0.3374,0.3474,0.3474,3.4101,8.6363,34.15,26.1,2.75,2.75,10.9,25.28,7.25,7.2,13.3,19.21,,,,,,,33.85,25.85
coil2000.csv,9.5,11723.0,9822.0,86.0,0.204,0.205,0.2057,0.2066,1.1745,3.7568,21.2,19.5,1.05,1.05,0.45,15.58,3.2,3.2,4.2,14.5,,,,,,,21.15,19.5
jm1.csv,9.5,11723.0,10885.0,22.0,0.4385,0.4382,0.4411,0.4413,3.7838,7.621,9.4,8.3,2.75,2.75,2.9,6.9,5.8,5.5,5.35,6.22,,,,,,,9.4,8.3
kdd.csv,9.5,11723.0,10108.0,576.0,0.234,0.2289,0.2423,0.2351,4.7676,13.2223,143.1,106.4,4.0,4.0,71.25,100.61,11.55,11.5,74.05,74.51,,,,,,,136.15,101.3
kr.csv,9.5,11723.0,3196.0,75.0,0.0302,0.0282,0.0365,0.0313,10.3265,15.902,37.9,33.4,6.85,6.85,26.45,28.27,11.15,11.1,28.25,24.87,,,,,,,37.9,33.35
mushroom.csv,9.5,11723.0,8124.0,126.0,0.0,0.0001,0.0012,0.0001,1.4144,11.6493,46.2,31.15,1.2,1.2,1.6,34.28,9.65,9.65,18.25,23.31,,,,,,,46.05,31.15
scene.csv,9.5,11723.0,2407.0,305.0,0.0546,0.0526,0.0697,0.06,2.8383,10.606,68.65,47.3,2.5,2.5,9.45,51.24,9.65,9.55,18.95,35.23,,,,,,,68.65,47.3
sick.csv,9.5,11723.0,3772.0,53.0,0.0722,0.0706,0.0768,0.0799,3.7862,11.899,11.4,8.65,3.05,3.05,5.55,8.3,6.7,5.9,5.25,6.13,,,,,,,11.4,8.25
spambase.csv,9.5,11723.0,4601.0,58.0,0.1786,0.1782,0.1917,0.1874,4.6642,9.7598,31.05,24.8,3.2,3.2,12.25,23.23,6.85,6.85,14.75,18.47,,,,,,,31.05,24.75
sylva.csv,9.5,11723.0,14395.0,109.0,0.0157,0.0157,0.0182,0.0183,6.6002,9.6196,49.85,34.65,4.7,4.7,19.6,36.87,7.6,7.6,19.15,25.71,,,,,,,49.75,34.65
