dataset,run,seed,nrows,ncols,i_5CV_logloss,p_5CV_logloss,i_TST_logloss,p_TST_logloss,i_geo_complexity,p_geo_complexity,i_nfs_complexity,p_nfs_complexity,i_H_total,i_H_active,i_C_inconsistentes,i_k_promedio_activas,p_H_total,p_H_active,p_C_inconsistentes,p_k_promedio_activas,i_d,p_d,i_l,p_l,i_f,p_f,i_tree_nfs,p_tree_nfs
ada.csv,5.5,6787.0,4562.0,103.0,0.3378,0.3362,0.3503,0.3486,4.8649,8.8141,32.4167,22.9167,3.83,3.83,11.58,23.86,7.5,7.5,11.42,16.86,,,,,,,32.0,22.6667
coil2000.csv,5.5,6787.0,9822.0,86.0,0.2039,0.2043,0.2067,0.206,1.5314,4.1188,20.0,17.5833,1.33,1.33,2.25,14.79,3.5,3.5,5.42,13.17,,,,,,,20.0,17.5833
jm1.csv,5.0,6170.0,10885.0,22.0,0.4388,0.4383,0.4398,0.4401,4.8381,8.8727,10.1818,7.4545,3.36,3.36,4.36,7.54,6.64,6.64,5.91,5.57,,,,,,,10.1818,7.4545
kdd.csv,5.0,6170.0,10108.0,576.0,0.2336,0.2288,0.2414,0.2341,5.247,13.271,149.9091,107.2727,4.36,4.36,78.45,104.48,11.55,11.55,72.82,75.12,,,,,,,142.9091,102.1818
kr.csv,5.5,6787.0,3196.0,75.0,0.0318,0.0297,0.0315,0.0302,8.3333,16.191,37.6667,30.8333,5.75,5.75,23.17,27.98,11.67,11.58,26.17,22.92,,,,,,,37.6667,30.75
mushroom.csv,5.5,6787.0,8124.0,126.0,0.0001,0.0001,0.0012,0.0001,4.9887,12.5917,52.4167,25.5833,3.67,3.58,11.67,39.14,10.67,10.67,16.92,19.16,,,,,,,52.3333,25.5833
scene.csv,5.5,6787.0,2407.0,305.0,0.0552,0.0501,0.0675,0.0558,3.1179,10.0316,62.5833,40.75,2.75,2.75,11.42,46.65,9.08,9.08,17.67,30.35,,,,,,,62.5833,40.75
sick.csv,5.5,6787.0,3772.0,53.0,0.0635,0.0641,0.0702,0.0736,3.5083,7.2942,11.5833,7.8333,2.92,2.92,5.92,8.61,6.33,6.33,5.08,5.74,,,,,,,11.5,7.75
spambase.csv,5.5,6787.0,4601.0,58.0,0.176,0.1749,0.1871,0.1859,3.9091,10.6254,29.5833,25.5833,2.75,2.75,10.33,22.03,7.42,7.42,17.17,19.11,,,,,,,29.5833,25.5833
sylva.csv,5.0,6170.0,14395.0,109.0,0.0153,0.0158,0.0186,0.0204,6.9763,8.7832,48.2727,29.5455,5.0,5.0,17.55,35.73,7.18,7.18,13.64,21.84,,,,,,,48.2727,29.5455
